iter	Passed	Remaining
0	5	746
1	9	701
2	14	717
3	20	754
4	26	758
5	32	772
6	36	755
7	41	743
8	46	735
9	51	723
10	56	711
11	60	698
12	66	696
13	71	691
14	76	685
15	81	685
16	87	681
17	92	677
18	97	672
19	102	667
20	108	665
21	114	663
22	119	660
23	126	663
24	131	656
25	136	650
26	141	644
27	146	639
28	151	634
29	157	628
30	161	620
31	167	616
32	171	608
33	176	602
34	182	599
35	187	593
36	192	587
37	197	581
38	201	574
39	206	567
40	211	562
41	216	556
42	221	551
43	228	549
44	234	547
45	240	543
46	246	539
47	252	535
48	257	529
49	261	523
50	268	520
51	273	514
52	279	510
53	284	504
54	289	500
55	295	496
56	300	490
57	304	483
58	310	479
59	316	474
60	321	469
61	326	463
62	331	458
63	337	453
64	342	448
65	348	443
66	353	437
67	358	432
68	363	426
69	369	421
70	374	417
71	379	411
72	384	405
73	389	400
74	394	394
75	399	389
76	406	384
77	410	379
78	415	373
79	420	367
80	425	362
81	430	357
82	436	352
83	442	347
84	447	342
85	453	337
86	458	332
87	463	326
88	470	322
89	476	317
90	481	311
91	486	306
92	490	300
93	495	295
94	499	289
95	504	283
96	508	277
97	513	272
98	517	266
99	521	260
100	526	255
101	530	249
102	534	243
103	539	238
104	543	232
105	547	227
106	552	221
107	556	216
108	559	210
109	562	204
110	566	198
111	569	193
112	573	187
113	577	182
114	580	176
115	584	171
116	588	165
117	591	160
118	594	154
119	598	149
120	601	144
121	605	138
122	608	133
123	612	128
124	615	123
125	619	117
126	623	112
127	626	107
128	629	102
129	633	97
130	636	92
131	639	87
132	643	82
133	646	77
134	649	72
135	653	67
136	656	62
137	660	57
138	663	52
139	667	47
140	670	42
141	673	37
142	677	33
143	680	28
144	684	23
145	687	18
146	691	14
147	694	9
148	698	4
149	701	0
